CRN,Cap,Act,Rem,Status
34171,25,11,14,Restricted: See Counselor
34344,25,3,22,Restricted: See Counselor
34872,25,1,24,Restricted: See Counselor
34345,25,1,24,Restricted: See Counselor
34173,25,13,12,Restricted: See Counselor
34874,25,1,24,Restricted: See Counselor
32044,40,--,0,CLOSED
36526,40,--,0,CLOSED
32416,36,--,0,CLOSED
35016,40,--,0,CLOSED
35017,40,--,0,CLOSED
32774,40,--,0,CLOSED
38353,40,--,0,CLOSED
32417,40,--,0,CLOSED
30004,40,--,0,CLOSED
38097,40,--,0,CLOSED
38461,40,--,0,CLOSED
30070,65,--,0,CLOSED
30010,40,--,0,CLOSED
33473,40,--,0,CLOSED
31311,40,--,0,CLOSED
34622,35,--,0,CLOSED
37090,36,--,0,CLOSED
34621,60,--,0,CLOSED
38462,40,--,0,CLOSED
31549,40,--,0,CLOSED
36379,70,62,8,OPEN
32233,40,--,0,CLOSED
35018,40,--,0,CLOSED
38463,40,--,0,CLOSED
31626,40,--,0,CLOSED
38514,40,--,0,CLOSED
37296,50,--,0,CLOSED
35553,20,9,11,OPEN
33443,25,17,8,Restricted: See Counselor
38159,25,4,21,Restricted: See Counselor
35546,25,17,8,Restricted: See Counselor
33816,25,6,19,Restricted: See Counselor
38085,25,10,15,Restricted: See Counselor
37477,25,3,22,Restricted: See Counselor
35310,25,14,11,Restricted: See Counselor
35530,25,7,18,Restricted: See Counselor
38086,25,9,16,Restricted: See Counselor
37479,25,4,21,Restricted: See Counselor
38611,25,7,18,Restricted: See Counselor
35061,25,9,16,Restricted: See Counselor
38608,25,16,9,Restricted: See Counselor
38161,25,18,7,Restricted: See Counselor
38162,25,20,5,Restricted: See Counselor
33451,25,5,20,Restricted: See Counselor
34881,25,22,3,Restricted: See Counselor
38164,25,16,9,Restricted: See Counselor
34289,25,6,19,Restricted: See Counselor
37481,25,15,10,Restricted: See Counselor
33456,25,6,19,Restricted: See Counselor
33458,25,9,16,Restricted: See Counselor
37483,25,22,3,Restricted: See Counselor
38167,25,2,23,Restricted: See Counselor
37484,25,4,21,Restricted: See Counselor
38158,25,21,4,Restricted: See Counselor
38169,25,3,22,Restricted: See Counselor
38170,25,19,6,Restricted: See Counselor
34608,25,24,1,Restricted: See Counselor
38079,25,2,23,Restricted: See Counselor
38533,25,6,19,Restricted: See Counselor
38534,25,4,21,Restricted: See Counselor
38607,25,0,25,Restricted: See Counselor
38535,25,10,15,Restricted: See Counselor
38609,25,7,18,Restricted: See Counselor
30019,90,--,0,CLOSED
30658,40,--,0,CLOSED
35019,40,--,0,CLOSED
38438,40,--,0,CLOSED
36472,40,--,0,CLOSED
30652,80,--,0,CLOSED
37207,40,--,0,CLOSED
30023,40,--,0,CLOSED
30026,40,--,0,CLOSED
30024,40,--,0,CLOSED
35023,40,--,0,CLOSED
38709,20,--,0,CLOSED
30362,30,--,0,CLOSED
32121,30,--,0,CLOSED
36010,30,--,0,CLOSED
37546,24,--,0,CLOSED
38602,30,--,0,CLOSED
30031,30,--,0,CLOSED
30033,24,--,0,CLOSED
30036,30,--,0,CLOSED
31230,30,--,0,CLOSED
33887,24,--,0,CLOSED
34545,30,--,0,CLOSED
36011,30,--,0,CLOSED
30034,30,--,0,CLOSED
30315,30,--,0,CLOSED
36563,30,--,0,CLOSED
30116,30,--,0,CLOSED
30479,30,--,0,CLOSED
33380,30,--,0,CLOSED
36012,30,--,0,CLOSED
36562,30,--,0,CLOSED
37598,30,--,0,CLOSED
33152,24,--,0,CLOSED
32506,7,--,0,CLOSED
32333,40,--,0,CLOSED
36697,40,--,0,CLOSED
36811,40,--,0,CLOSED
37137,40,--,0,CLOSED
