CRN,Cap,Act,Rem,Status
34171,25,10,15,Restricted: See Counselor
34344,25,4,21,Restricted: See Counselor
34872,25,1,24,Restricted: See Counselor
34345,25,1,24,Restricted: See Counselor
34173,25,11,14,Restricted: See Counselor
34874,25,1,24,Restricted: See Counselor
32044,40,--,0,See Instructor
36526,40,--,0,See Instructor
32416,36,18,18,OPEN
35016,40,--,0,See Instructor
35017,40,--,0,See Instructor
32774,40,--,0,See Instructor
38353,40,--,0,See Instructor
32417,40,--,0,CLOSED
30004,40,--,0,See Instructor
38097,40,--,0,See Instructor
38461,40,--,0,See Instructor
30070,65,64,1,OPEN
30010,40,--,0,See Instructor
33473,40,--,0,See Instructor
31311,40,37,3,OPEN
34622,35,18,17,OPEN
37090,36,16,20,OPEN
34621,60,--,0,See Instructor
38462,40,--,0,See Instructor
31549,40,--,0,See Instructor
36379,60,--,0,CLOSED
32233,40,32,8,OPEN
35018,40,--,0,See Instructor
38463,40,--,0,See Instructor
31626,40,--,0,See Instructor
38514,40,19,21,OPEN
37296,50,38,12,OPEN
35553,20,10,10,OPEN
33443,25,11,14,Restricted: See Counselor
38159,25,5,20,Restricted: See Counselor
35546,25,17,8,Restricted: See Counselor
33816,25,6,19,Restricted: See Counselor
38085,25,10,15,Restricted: See Counselor
37477,25,3,22,Restricted: See Counselor
35310,25,14,11,Restricted: See Counselor
35530,25,7,18,Restricted: See Counselor
38086,25,8,17,Restricted: See Counselor
37479,25,4,21,Restricted: See Counselor
38611,25,3,22,Restricted: See Counselor
35061,25,10,15,Restricted: See Counselor
38608,25,14,11,Restricted: See Counselor
38161,25,15,10,Restricted: See Counselor
38162,25,18,7,Restricted: See Counselor
33451,25,4,21,Restricted: See Counselor
34881,25,17,8,Restricted: See Counselor
38164,25,13,12,Restricted: See Counselor
34289,25,3,22,Restricted: See Counselor
37481,25,13,12,Restricted: See Counselor
33456,25,5,20,Restricted: See Counselor
33458,25,8,17,Restricted: See Counselor
37483,25,21,4,Restricted: See Counselor
38167,25,2,23,Restricted: See Counselor
37484,25,3,22,Restricted: See Counselor
38158,25,16,9,Restricted: See Counselor
38169,25,2,23,Restricted: See Counselor
38170,25,16,9,Restricted: See Counselor
34608,25,22,3,Restricted: See Counselor
38079,25,1,24,Restricted: See Counselor
38533,25,4,21,Restricted: See Counselor
38534,25,3,22,Restricted: See Counselor
38607,25,0,25,Restricted: See Counselor
38535,25,10,15,Restricted: See Counselor
38609,25,7,18,Restricted: See Counselor
30019,90,64,26,OPEN
30658,40,--,0,See Instructor
35019,40,15,25,OPEN
38438,40,26,14,OPEN
36472,40,--,0,See Instructor
30652,80,61,19,OPEN
37207,40,32,8,OPEN
30023,40,20,20,OPEN
30026,40,30,10,OPEN
30024,40,34,6,OPEN
35023,40,28,12,OPEN
38709,20,6,14,OPEN
30362,30,--,0,See Instructor
32121,30,--,0,See Instructor
36010,30,--,0,See Instructor
37546,24,--,0,See Instructor
38602,30,--,0,See Instructor
30031,30,--,0,See Instructor
30033,24,--,0,See Instructor
30036,30,--,0,See Instructor
31230,30,--,0,See Instructor
33887,24,--,0,See Instructor
34545,30,--,0,See Instructor
36011,30,--,0,See Instructor
30034,30,--,0,See Instructor
30315,30,--,0,See Instructor
36563,30,--,0,CLOSED
30116,30,--,0,CLOSED
30479,30,--,0,See Instructor
33380,30,--,0,See Instructor
36012,30,--,0,See Instructor
36562,30,--,0,See Instructor
37598,30,--,0,See Instructor
33152,24,22,2,OPEN
32506,7,6,1,OPEN
32333,40,37,3,OPEN
36697,40,--,0,See Instructor
36811,40,37,3,OPEN
37137,40,--,0,See Instructor
37902,40,--,0,See Instructor
31482,40,--,0,See Instructor
36404,40,36,4,OPEN
30037,40,39,1,OPEN
32948,40,21,19,OPEN
35550,40,--,0,See Instructor
36460,40,--,0,See Instructor
36462,40,--,0,See Instructor
36695,40,--,0,See Instructor
37034,40,--,0,See Instructor
37532,40,--,0,See Instructor
37722,40,--,0,See Instructor
37533,40,--,0,CLOSED
38849,40,--,0,Waitlisted
38687,35,9,26,Restricted: Dual Enrollment
34840,35,--,0,See Instructor
33576,25,--,0,See Instructor
33577,25,20,5,OPEN
33579,25,23,2,OPEN
33578,25,24,1,OPEN
34683,25,--,0,See Instructor
36414,25,24,1,OPEN
30335,25,--,0,See Instructor
30640,25,--,0,See Instructor
31667,25,--,0,See Instructor
30893,40,38,2,OPEN
36696,40,26,14,OPEN
36743,40,--,0,See Instructor
38385,40,--,0,See Instructor
37726,40,--,0,See Instructor
36808,40,--,0,Waitlisted
36130,35,10,25,OPEN
33303,40,31,9,OPEN
36131,40,--,0,See Instructor
30625,40,21,19,OPEN
38386,25,10,15,OPEN
36698,40,--,0,See Instructor
37537,40,--,0,See Instructor
38892,1,0,1,Permission of Instructor
37539,40,--,0,CLOSED
30043,30,14,16,OPEN
37603,24,--,0,See Instructor
38855,24,11,11,OPEN
31084,24,18,6,OPEN
34201,24,2,11,OPEN
31751,30,--,0,CLOSED
30379,30,29,1,OPEN
38591,30,16,14,OPEN
35928,30,29,1,OPEN
38852,24,15,6,OPEN
37604,24,21,3,OPEN
30867,24,17,7,OPEN
34203,24,3,6,OPEN
31749,24,15,9,OPEN
37863,24,7,3,OPEN
30049,24,14,3,OPEN
35742,24,10,14,OPEN
37101,35,19,16,OPEN
36344,35,--,0,See Instructor
37599,35,--,0,See Instructor
30155,35,13,22,OPEN
37601,35,--,0,See Instructor
37602,35,--,0,CLOSED
38399,30,5,25,OPEN
33902,30,1,29,OPEN
33013,35,32,3,OPEN
35410,40,--,0,See Instructor
36093,40,--,0,See Instructor
36162,40,--,0,See Instructor
36573,40,--,0,See Instructor
36643,40,--,0,See Instructor
30056,60,37,23,OPEN
38683,48,12,36,OPEN
30059,60,--,0,See Instructor
32190,60,--,0,See Instructor
37788,60,--,0,See Instructor
38641,60,--,0,See Instructor
36617,60,14,46,OPEN
32564,60,24,36,OPEN
32594,60,56,4,OPEN
33014,30,29,1,OPEN
36579,30,--,0,See Instructor
37116,30,--,0,CLOSED
32596,60,43,17,OPEN
30062,28,15,13,OPEN
30064,30,--,0,See Instructor
30066,28,--,0,See Instructor
30068,30,26,4,OPEN
31123,30,26,4,OPEN
31162,28,12,16,OPEN
31273,28,18,10,OPEN
30073,30,--,0,See Instructor
30074,30,--,0,See Instructor
30219,30,--,0,See Instructor
38592,30,--,0,See Instructor
30550,30,22,8,OPEN
30067,28,--,0,See Instructor
30075,28,--,0,CLOSED
36175,28,--,0,CLOSED
30076,30,26,2,OPEN
32037,30,23,5,OPEN
30001,30,2,2,OPEN
32038,30,2,5,OPEN
33605,24,17,7,OPEN
30079,24,18,6,OPEN
30123,24,6,18,OPEN
31466,24,13,11,OPEN
37609,22,17,5,OPEN
37608,22,--,0,See Instructor
30124,24,11,11,OPEN
37742,24,--,0,See Instructor
30081,1,--,0,CLOSED
30083,24,--,0,See Instructor
36626,24,21,3,OPEN
30084,24,22,2,OPEN
30085,24,10,14,OPEN
36624,24,22,2,OPEN
30093,24,6,12,OPEN
30095,24,6,12,OPEN
34612,24,0,12,OPEN
30232,24,--,0,See Instructor
37919,24,8,8,OPEN
30484,24,7,8,OPEN
31156,24,1,8,OPEN
30039,17,12,2,OPEN
30094,17,14,1,OPEN
31329,17,--,0,See Instructor
30104,17,3,2,OPEN
30707,17,2,1,OPEN
30097,24,23,1,OPEN
38258,24,--,0,See Instructor
30098,24,--,0,See Instructor
30101,24,--,0,See Instructor
31173,24,--,0,See Instructor
30103,24,15,9,OPEN
33604,24,16,8,OPEN
30144,24,--,0,See Instructor
37545,24,--,0,See Instructor
32772,24,--,0,See Instructor
30099,24,--,0,See Instructor
30105,24,--,0,See Instructor
31755,24,--,0,See Instructor
36614,24,--,0,See Instructor
31602,24,10,14,OPEN
30711,24,8,16,OPEN
31552,24,8,16,OPEN
31553,24,0,16,OPEN
30106,24,18,6,OPEN
35408,24,0,6,OPEN
30107,24,--,0,See Instructor
37881,24,--,0,See Instructor
30109,24,--,0,See Instructor
30127,20,8,10,OPEN
30111,17,--,0,See Instructor
36618,17,--,0,CLOSED
30540,17,--,0,CLOSED
38596,17,--,0,CLOSED
36619,17,--,0,CLOSED
30114,17,--,0,CLOSED
38597,17,--,0,CLOSED
36620,17,--,0,CLOSED
30115,17,--,0,CLOSED
38598,17,--,0,CLOSED
36621,17,--,0,CLOSED
32039,17,--,0,CLOSED
38599,17,--,0,CLOSED
30110,17,--,0,CLOSED
30761,17,--,0,CLOSED
30765,17,--,0,CLOSED
30783,17,--,0,CLOSED
33632,22,5,17,OPEN
37844,22,11,11,OPEN
30377,22,13,8,OPEN
32109,22,1,8,OPEN
